id,src,dst,rel,confidence,verification_status,rationale
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-968fe74e,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-kill-condition-kill-if-by-end-2028-the-dominant-consumer-ai-usage-remains-cloud-08a46625,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-309eed70,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-price-channel-chip-and-device-companies-are-announcing-edge-ai-features-the-resi-1a88b543,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-27b37784,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-buyer-segment-device-oems-chip-vendors-mobile-os-teams-consumer-ai-app-developer-83d76c60,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-ad3a17a9,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-action-design-around-local-context-and-power-budgets-build-features-that-improve-e84292d2,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-b66080cb,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-observable-a-google-samsung-apple-or-meta-product-launch-where-the-lead-ai-featu-64a8aa4d,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orches-24ea25d8,n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,n-observable-a-google-samsung-apple-or-meta-product-launch-where-the-lead-ai-featu-64a8aa4d,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-a2db33c4,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-winner-qualcomm-apple-samsung-and-other-integrated-edge-ai-silicon-device-player-2ddc356e,creates_winner,0.55,derived_from_board,"The thesis names this winner: They control the NPU, sensors, battery envelope, and developer surfaces."
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-d7ff3a28,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-winner-privacy-preserving-local-agent-platforms-02e04d29,creates_winner,0.55,derived_from_board,The thesis names this winner: They can access sensitive context without forcing everything into cloud logs.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-f14e55a4,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-winner-apps-with-daily-personal-context-loops-64547f6a,creates_winner,0.55,derived_from_board,"The thesis names this winner: Health, mobility, work, and communication features improve with persistent local state."
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-75136796,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-loser-cloud-only-personal-assistant-apps-280597af,creates_loser,0.55,derived_from_board,The thesis names this loser: They lack trusted continuous context and face rising privacy friction.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-d4eeb4a0,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-loser-low-end-device-makers-without-npu-or-sensor-fusion-capability-91e3c771,creates_loser,0.55,derived_from_board,The thesis names this loser: They cannot support the local features users come to expect.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-5bb22fc7,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-constraint-rent-lands-in-chip-vendors-with-efficient-npus-oems-with-integrated-s-638a9701,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-0f1d7128,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-constraint-the-next-constraint-becomes-developer-access-to-local-context-without-06ac4d5a,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
e-n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orches-87bf5702,n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,n-constraint-the-next-constraint-becomes-developer-access-to-local-context-without-06ac4d5a,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-ac20a730,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-price-channel-npu-rich-device-boms-sensor-vendors-secure-local-memory-and-os-lev-18ff8362,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-ca304d44,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-action-hardware-roadmap-npu-vendor-selection-app-architecture-privacy-posture-an-a5a169c1,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-da088dad,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-action-always-on-local-context-can-raise-retention-and-trust-while-cloud-only-in-5fe9dee4,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-8b6298ab,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-bd117153,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gate-7c7d17c2,n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-bd117153,n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gate-79ebac13,n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-bd117153,n-metric-track-commercial-devices-that-run-billion-parameter-local-models-all-day-cdb6953f,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p5-biomanufa-2743ca96,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p5-biom-1a31513c,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-ec51f181,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-33a5a4ec,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-metric-track-ai-designed-or-engineered-bio-products-that-fail-or-delay-on-cogs-a-e2bd431f,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strai-8f89daa8,n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,n-metric-track-ai-designed-or-engineered-bio-products-that-fail-or-delay-on-cogs-a-e2bd431f,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-4ac4cebb,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-kill-condition-kill-if-by-2030-multiple-ai-designed-industrial-bio-products-reac-ac6e6352,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-202965c4,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-price-channel-biomanufacturing-capacity-and-cdmo-services-are-visible-but-scale-f4411b7f,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-0b046014,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-buyer-segment-industrial-biotech-founders-chemicals-strategics-food-and-material-e3eac0ee,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-3f1ba3a9,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-action-underwrite-ai-bio-companies-on-scale-up-evidence-cogs-path-downstream-pro-df763145,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-a39be893,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-observable-a-well-funded-ai-bio-or-synbio-company-delaying-launch-because-pilot-8f7cfc9e,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strai-4a735386,n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,n-observable-a-well-funded-ai-bio-or-synbio-company-delaying-launch-because-pilot-8f7cfc9e,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-4dd72342,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-winner-bioprocess-cdmos-and-pilot-fermentation-operators-381f838e,creates_winner,0.55,derived_from_board,The thesis names this winner: They own the scarce bridge from strain to commercial product.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-4cb3fd3d,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-winner-strategics-with-existing-fermentation-and-downstream-assets-cbfcc552,creates_winner,0.55,derived_from_board,The thesis names this winner: They can industrialize AI-generated designs faster than pure software-led entrants.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-27fd507f,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-winner-ai-bio-teams-with-process-development-built-in-eef450db,creates_winner,0.55,derived_from_board,The thesis names this winner: They can select designs for manufacturability instead of novelty.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-83bdb893,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-loser-design-only-ai-bio-startups-da4907cc,creates_loser,0.55,derived_from_board,"The thesis names this loser: They face valuation compression when customers ask for yield, cost, and qualified volume."
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-ebf0a09a,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-loser-commodity-bio-products-relying-only-on-green-premium-demand-60ee9c36,creates_loser,0.55,derived_from_board,The thesis names this loser: Nature's review notes commercial viability ultimately needs price parity or a tangible product benefit.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-46842fa2,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-constraint-rent-lands-in-companies-with-process-development-talent-qualified-pil-8295600b,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-958c18fc,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-constraint-the-next-constraint-becomes-low-cost-feedstock-contamination-control-d7ca6628,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
e-n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strai-e2d1c44d,n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,n-constraint-the-next-constraint-becomes-low-cost-feedstock-contamination-control-d7ca6628,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-9ae7446b,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-price-channel-pilot-fermentation-slots-downstream-processing-assets-process-deve-518ff8e8,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-6a91535f,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-action-investment-diligence-partnership-timing-pilot-plant-capex-cdmo-contractin-4eff088f,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-2936e474,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-action-early-access-to-pilot-and-downstream-capacity-can-turn-designs-into-quali-e59402fc,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fda-571dc7d8,n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-3fa4d5d5,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-desi-a90d31fa,n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-3fa4d5d5,n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-desi-5f6718d1,n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-3fa4d5d5,n-metric-track-ai-designed-or-engineered-bio-products-that-fail-or-delay-on-cogs-a-e2bd431f,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p6-agentic-a-ca5d571f,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p6-agen-99d845b2,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-dd549419,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-a4813d72,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-metric-track-enterprise-rfps-requiring-agent-audit-logs-least-privilege-controls-0101da5f,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-d7f44815,n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,n-metric-track-enterprise-rfps-requiring-agent-audit-logs-least-privilege-controls-0101da5f,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-98e20edb,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-kill-condition-kill-if-by-mid-2028-large-enterprises-widely-deploy-multi-step-ag-aad663ee,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-2cb11395,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-price-channel-ai-security-and-governance-are-increasingly-visible-the-narrower-e-956a0669,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-17909105,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-buyer-segment-cisos-cios-compliance-leaders-insurers-enterprise-software-buyers-a655b54c,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-d82144b1,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-action-design-agent-deployments-around-authority-boundaries-first-least-privileg-f22a49ab,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-f98517f0,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-observable-a-fortune-500-rfp-insurance-policy-or-regulator-explicitly-requiring-ef635ec0,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-a9562cdf,n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,n-observable-a-fortune-500-rfp-insurance-policy-or-regulator-explicitly-requiring-ef635ec0,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-88c6ca42,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-winner-identity-and-access-management-vendors-9ae1bd74,creates_winner,0.55,derived_from_board,"The thesis names this winner: Agent authority maps naturally onto permissioning, secrets, and least-privilege workflows."
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-df6ef862,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-winner-agent-orchestration-platforms-with-audit-and-rollback-95d048c9,creates_winner,0.55,derived_from_board,The thesis names this winner: They become the control plane for letting agents touch real systems.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-909d93b3,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-winner-insurers-and-compliance-tooling-providers-871922f7,creates_winner,0.55,derived_from_board,The thesis names this winner: They can turn auditable controls into underwritable risk.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-cb53601d,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-loser-prompt-only-agent-frameworks-d3538993,creates_loser,0.55,derived_from_board,"The thesis names this loser: They cannot satisfy buyers who need proof, rollback, and authority boundaries."
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-820ff1bb,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-loser-model-vendors-that-ignore-enterprise-control-planes-eb7233f9,creates_loser,0.55,derived_from_board,The thesis names this loser: Capability alone does not clear procurement for regulated action.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-e43ebc1e,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-constraint-rent-lands-in-identity-security-vendors-agent-orchestration-platforms-b74ae714,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-e13f9c70,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-constraint-the-next-constraint-becomes-standard-evidence-formats-for-agent-actio-affe5fb4,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
e-n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ab797315,n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,n-constraint-the-next-constraint-becomes-standard-evidence-formats-for-agent-actio-affe5fb4,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-335c7f82,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-price-channel-agent-security-budgets-identity-control-spend-audit-log-infrastruc-180609c8,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-00af9fff,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-action-enterprise-ai-procurement-security-architecture-insurance-underwriting-co-bf1e6768,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-55bbffe0,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-action-a-controlled-agent-can-be-deployed-into-high-value-workflows-that-an-unco-55ff9969,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollbac-d329828d,n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rol-cef6ed39,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-r-bf35c660,n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rol-cef6ed39,n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-r-f27b0270,n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rol-cef6ed39,n-metric-track-enterprise-rfps-requiring-agent-audit-logs-least-privilege-controls-0101da5f,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
