id,kind,label,domain,confidence,verification_status,fields
n-observable-a-well-funded-ai-bio-or-synbio-company-delaying-launch-because-pilot-8f7cfc9e,observable,"A well-funded AI-bio or synbio company delaying launch because pilot capacity, downstream recovery, or COGS fails despite successful lab design.",industrial biotech / biomanufacturing,0.7,derived_from_board,"{""source_thesis"": ""P5""}"
n-winner-bioprocess-cdmos-and-pilot-fermentation-operators-381f838e,winner,Bioprocess CDMOs and pilot fermentation operators,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_thesis"": ""P5"", ""why"": ""They own the scarce bridge from strain to commercial product.""}"
n-winner-strategics-with-existing-fermentation-and-downstream-assets-cbfcc552,winner,Strategics with existing fermentation and downstream assets,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_thesis"": ""P5"", ""why"": ""They can industrialize AI-generated designs faster than pure software-led entrants.""}"
n-winner-ai-bio-teams-with-process-development-built-in-eef450db,winner,AI-bio teams with process development built in,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_thesis"": ""P5"", ""why"": ""They can select designs for manufacturability instead of novelty.""}"
n-loser-design-only-ai-bio-startups-da4907cc,loser,Design-only AI-bio startups,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_thesis"": ""P5"", ""why"": ""They face valuation compression when customers ask for yield, cost, and qualified volume.""}"
n-loser-commodity-bio-products-relying-only-on-green-premium-demand-60ee9c36,loser,Commodity bio-products relying only on green-premium demand,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_thesis"": ""P5"", ""why"": ""Nature's review notes commercial viability ultimately needs price parity or a tangible product benefit.""}"
n-constraint-rent-lands-in-companies-with-process-development-talent-qualified-pil-8295600b,constraint,"Rent lands in companies with process-development talent, qualified pilot capacity, downstream purification know-how, and feedstock-secured plants. Design-only IP captures less unless tied to manufacturability.",industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P5""}"
n-constraint-the-next-constraint-becomes-low-cost-feedstock-contamination-control-d7ca6628,constraint,"The next constraint becomes low-cost feedstock, contamination control, waste handling, and buyer qualification at industrial volumes.",industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P5""}"
n-price-channel-pilot-fermentation-slots-downstream-processing-assets-process-deve-518ff8e8,price_channel,"Pilot fermentation slots, downstream processing assets, process-development teams, and scale-up data should reprice above generic AI-bio discovery claims.",industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P5""}"
n-action-investment-diligence-partnership-timing-pilot-plant-capex-cdmo-contractin-4eff088f,action,"Investment diligence, partnership timing, pilot plant capex, CDMO contracting, and whether to buy design IP or process know-how.",industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P5""}"
n-action-early-access-to-pilot-and-downstream-capacity-can-turn-designs-into-quali-e59402fc,action,Early access to pilot and downstream capacity can turn designs into qualified products while competitors wait in the scale-up queue. Avoiding failed scale-up saves years of burn.,industrial biotech / biomanufacturing,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P5""}"
n-forecast-clause-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-3fa4d5d5,forecast_clause,"Biomanufacturing's bottleneck is scale-up, not AI organism design.",industrial biotech / biomanufacturing,0.85,derived_from_board,"{""resolves"": ""2030-12-31"", ""source_thesis"": ""P5""}"
n-thesis-p6-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rollback-16ecbf23,thesis,"P6: Agentic AI's scarce layer becomes authority, auditability, and rollback.",enterprise AI / security / governance,0.8,derived_from_board,"{""pre_consensus"": ""Enterprise AI buyers talk about agents, but many roadmaps still assume model capability is the adoption gate. The next purchasing gate is operational trust: least privilege, chain of custody, approval routing, audit logs, rollback, and insurance language."", ""structural"": ""Agents that only answer questions are easy to pilot. Agents that execute code, move money, change records, message customers, operate devices, or trigger workflows create liability. Berkeley's Agentic AI Risk Management Profile highlights risks from system configuration, tool access, and real-world interaction, including unauthorized privilege escalation and unsupervised erroneous tasks. As agents gain authority, the binding constraint moves from reasoning quality to controlled action."", ""thesis_id"": ""P6"", ""why"": ""The useful agent is the dangerous agent. Once AI can act, buyers need evidence, not vibes. That evidence layer is monetizable because it gates procurement, insurance, and legal approval.""}"
n-constraint-identity-permissioning-tool-access-control-audit-trails-reversible-ex-961ac68e,constraint,"Identity, permissioning, tool-access control, audit trails, reversible execution, human authorization policies, and liability evidence for agent actions.",enterprise AI / security / governance,0.7,derived_from_board,"{""source_thesis"": ""P6""}"
n-metric-track-enterprise-rfps-requiring-agent-audit-logs-least-privilege-controls-0101da5f,metric,"Track enterprise RFPs requiring agent audit logs, least-privilege controls, rollback, or insurance support; track public agent incidents; track vendors selling action-governance rather than generic model monitoring.",enterprise AI / security / governance,0.75,derived_from_board,"{""source_thesis"": ""P6""}"
n-kill-condition-kill-if-by-mid-2028-large-enterprises-widely-deploy-multi-step-ag-aad663ee,kill_condition,"Kill if by mid-2028 large enterprises widely deploy multi-step agents with real system authority using mostly prompt-level guardrails and generic logging, without a separate action-governance budget.",enterprise AI / security / governance,0.8,derived_from_board,"{""source_thesis"": ""P6""}"
n-price-channel-ai-security-and-governance-are-increasingly-visible-the-narrower-e-956a0669,price_channel,"AI security and governance are increasingly visible. The narrower edge is action-governance as a separately budgeted execution layer for agents, especially where agents touch money, regulated records, infrastructure, or physical systems.",enterprise AI / security / governance,0.65,derived_from_board,"{""source_thesis"": ""P6""}"
n-buyer-segment-cisos-cios-compliance-leaders-insurers-enterprise-software-buyers-a655b54c,buyer_segment,"CISOs, CIOs, compliance leaders, insurers, enterprise software buyers, agent platform vendors, and legal teams.",enterprise AI / security / governance,0.65,derived_from_board,"{""source_thesis"": ""P6""}"
n-action-design-agent-deployments-around-authority-boundaries-first-least-privileg-f22a49ab,action,"Design agent deployments around authority boundaries first: least privilege, approval ladders, audit logs, rollback, and evidence packets for regulated workflows.",enterprise AI / security / governance,0.65,derived_from_board,"{""source_thesis"": ""P6""}"
n-observable-a-fortune-500-rfp-insurance-policy-or-regulator-explicitly-requiring-ef635ec0,observable,"A Fortune 500 RFP, insurance policy, or regulator explicitly requiring agent action logs, approval chains, and rollback for production deployment.",enterprise AI / security / governance,0.7,derived_from_board,"{""source_thesis"": ""P6""}"
n-winner-identity-and-access-management-vendors-9ae1bd74,winner,Identity and access-management vendors,enterprise AI / security / governance,0.55,derived_from_board,"{""source_thesis"": ""P6"", ""why"": ""Agent authority maps naturally onto permissioning, secrets, and least-privilege workflows.""}"
n-winner-agent-orchestration-platforms-with-audit-and-rollback-95d048c9,winner,Agent orchestration platforms with audit and rollback,enterprise AI / security / governance,0.55,derived_from_board,"{""source_thesis"": ""P6"", ""why"": ""They become the control plane for letting agents touch real systems.""}"
n-winner-insurers-and-compliance-tooling-providers-871922f7,winner,Insurers and compliance tooling providers,enterprise AI / security / governance,0.55,derived_from_board,"{""source_thesis"": ""P6"", ""why"": ""They can turn auditable controls into underwritable risk.""}"
n-loser-prompt-only-agent-frameworks-d3538993,loser,Prompt-only agent frameworks,enterprise AI / security / governance,0.55,derived_from_board,"{""source_thesis"": ""P6"", ""why"": ""They cannot satisfy buyers who need proof, rollback, and authority boundaries.""}"
n-loser-model-vendors-that-ignore-enterprise-control-planes-eb7233f9,loser,Model vendors that ignore enterprise control planes,enterprise AI / security / governance,0.55,derived_from_board,"{""source_thesis"": ""P6"", ""why"": ""Capability alone does not clear procurement for regulated action.""}"
n-constraint-rent-lands-in-identity-security-vendors-agent-orchestration-platforms-b74ae714,constraint,"Rent lands in identity/security vendors, agent orchestration platforms with strong execution controls, audit-log infrastructure, and insurers that can price agent risk.",enterprise AI / security / governance,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P6""}"
n-constraint-the-next-constraint-becomes-standard-evidence-formats-for-agent-actio-affe5fb4,constraint,"The next constraint becomes standard evidence formats for agent actions and cross-vendor interoperability between identity, workflow, model, and audit systems.",enterprise AI / security / governance,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P6""}"
n-price-channel-agent-security-budgets-identity-control-spend-audit-log-infrastruc-180609c8,price_channel,"Agent security budgets, identity-control spend, audit-log infrastructure, and cyber insurance language should reprice as agents get execution rights.",enterprise AI / security / governance,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P6""}"
n-action-enterprise-ai-procurement-security-architecture-insurance-underwriting-co-bf1e6768,action,"Enterprise AI procurement, security architecture, insurance underwriting, compliance budgets, and whether agents are allowed to touch systems of record.",enterprise AI / security / governance,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P6""}"
n-action-a-controlled-agent-can-be-deployed-into-high-value-workflows-that-an-unco-55ff9969,action,"A controlled agent can be deployed into high-value workflows that an uncontrolled agent cannot enter. The upside is adoption; the avoided loss is incident cost, regulatory exposure, and procurement blockage.",enterprise AI / security / governance,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P6""}"
n-forecast-clause-agentic-ai-s-scarce-layer-becomes-authority-auditability-and-rol-cef6ed39,forecast_clause,"Agentic AI's scarce layer becomes authority, auditability, and rollback.",enterprise AI / security / governance,0.85,derived_from_board,"{""resolves"": ""2028-06-30"", ""source_thesis"": ""P6""}"
